center,left,right,steering,throttle,brake,speed
IMG\center_2017_08_05_00_33_30_154.jpg,IMG\left_2017_08_05_00_33_30_154.jpg,IMG\right_2017_08_05_00_33_30_154.jpg,0,0,0,5.299963E-05
IMG\center_2017_08_05_00_33_30_249.jpg,IMG\left_2017_08_05_00_33_30_249.jpg,IMG\right_2017_08_05_00_33_30_249.jpg,0,0,0,5.298888E-05
IMG\center_2017_08_05_00_33_30_350.jpg,IMG\left_2017_08_05_00_33_30_350.jpg,IMG\right_2017_08_05_00_33_30_350.jpg,0,0,0,5.300827E-05
IMG\center_2017_08_05_00_33_30_448.jpg,IMG\left_2017_08_05_00_33_30_448.jpg,IMG\right_2017_08_05_00_33_30_448.jpg,0,0,0,5.27897E-05
IMG\center_2017_08_05_00_33_30_545.jpg,IMG\left_2017_08_05_00_33_30_545.jpg,IMG\right_2017_08_05_00_33_30_545.jpg,-0.25,0,0,4.876281E-05
IMG\center_2017_08_05_00_33_30_652.jpg,IMG\left_2017_08_05_00_33_30_652.jpg,IMG\right_2017_08_05_00_33_30_652.jpg,-0.2876805,0,0,4.863446E-05
IMG\center_2017_08_05_00_33_30_745.jpg,IMG\left_2017_08_05_00_33_30_745.jpg,IMG\right_2017_08_05_00_33_30_745.jpg,-0.00443802,0,0,5.353354E-05
IMG\center_2017_08_05_00_33_30_848.jpg,IMG\left_2017_08_05_00_33_30_848.jpg,IMG\right_2017_08_05_00_33_30_848.jpg,0,0,0,5.406675E-05
IMG\center_2017_08_05_00_33_30_949.jpg,IMG\left_2017_08_05_00_33_30_949.jpg,IMG\right_2017_08_05_00_33_30_949.jpg,0,0,0,5.28212E-05
IMG\center_2017_08_05_00_33_31_046.jpg,IMG\left_2017_08_05_00_33_31_046.jpg,IMG\right_2017_08_05_00_33_31_046.jpg,-0.25,0,0,4.912248E-05
IMG\center_2017_08_05_00_33_31_148.jpg,IMG\left_2017_08_05_00_33_31_148.jpg,IMG\right_2017_08_05_00_33_31_148.jpg,-0.297785,0,0,4.940791E-05
IMG\center_2017_08_05_00_33_31_255.jpg,IMG\left_2017_08_05_00_33_31_255.jpg,IMG\right_2017_08_05_00_33_31_255.jpg,0,0,0,5.255024E-05
